		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2	cmmn_p_homodimer	covariation_score	pair1_pdbs	pair2_pdbs	mutual_pair_structures	pair_struct_annot
Q9Y291-P82675	Q9Y3D9-P82675	no	0	no	0	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_09602.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.342	81.9478822792792	P82675	Q9Y291	Q9Y3D9	no	0.958	{'6ZM6', '7A5G', '3J9M', '7A5F', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VMI', '6VLZ', '8CSQ', '7A5I', '7PNX'}	{'6ZM6', '7A5G', '3J9M', '7A5F', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VMI', '6VLZ', '8CSQ', '7A5I', '7PNX'}	{'6ZM6', '7A5G', '3J9M', '7A5F', '7PNX', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VLZ', '8CSQ', '7A5I', '6VMI'}	yes structural evidence
P31150-P20338	P31150-P51151	yes	12	yes	185	['huMAP3_08941.1', 'huMAP3_09217.1', 'huMAP3_11094.1', 'huMAP3_11860.1']	0.414	75.53521820133635	P31150	P20338	P51151	no	0.15	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9UP83-Q96JB2	Q9UP83-Q96MW5	no	0	yes	84	['huMAP3_04294.1', 'huMAP3_14423.1', 'huMAP3_09176.1', 'huMAP3_11797.1']	0.415	73.48628731827839	Q9UP83	Q96MW5	Q96JB2	no	0.428	{'None'}	{'None'}	{'None'}	no structural evidence
P11142-P54652	Q8WXB1-P11142	no	0	yes	2	['huMAP3_11049.1', 'huMAP3_14723.1', 'huMAP3_07919.1', 'huMAP3_06506.1']	0.243	75.27249674749801	P11142	Q8WXB1	P54652	yes	0.114	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P31150-P51151	P31150-P61020	yes	27	yes	191	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.585	77.1893184415882	P31150	P51151	P61020	no	0.208	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9Y6Q5-Q10567	Q10567-O43747	no	0	yes	4	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_04311.1', 'huMAP3_10876.1', 'huMAP3_06769.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.52	70.56466026234425	Q10567	Q9Y6Q5	O43747	no	0.068	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P62714-P30153	P62714-P63151	no	0	yes	10	['huMAP3_13510.1', 'huMAP3_10333.1']	0.313	72.32121566706996	P62714	P30153	P63151	no	0.362	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P18754-P63279	P18754-O00629	no	0	yes	98	['huMAP3_12581.1', 'huMAP3_10000.1', 'huMAP3_08641.1']	0.289	71.33126712086336	P18754	O00629	P63279	no	0.124	{'No overlap'}	{'5TBK'}	{'No mutual structures'}	no structural evidence
Q14738-P30154	P67775-P30154	no	0	yes	77	['huMAP3_13510.1', 'huMAP3_07998.1', 'huMAP3_09709.1', 'huMAP3_10333.1']	0.613	76.84803057179701	P30154	P67775	Q14738	no	0.306	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q92922-Q92925	Q92922-Q969G3	yes	24	yes	143	['huMAP3_03221.1', 'huMAP3_11470.1']	0.256	70.70423763911843	Q92922	Q969G3	Q92925	no	0.548	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9BUE0-Q9NVC6	Q9NVC6-Q6P2C8	no	0	no	0	['huMAP3_02730.1']	0.501	78.92319313897396	Q9NVC6	Q9BUE0	Q6P2C8	no	0.436	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	yes structural evidence
Q9Y676-P82650	Q9Y676-P82930	no	0	yes	12	['huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.235	83.07827390477017	Q9Y676	P82930	P82650	no	0.98	{'6ZM6', '7A5G', '3J9M', '7A5F', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VMI', '6VLZ', '8CSQ', '7A5I', '7PNX'}	{'6ZM6', '7A5G', '3J9M', '7A5F', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VMI', '6VLZ', '8CSQ', '7A5I', '7PNX'}	{'6ZM6', '7A5G', '3J9M', '7A5F', '7PNX', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VLZ', '8CSQ', '7A5I', '6VMI'}	yes structural evidence
Q9NPG3-Q9NVP2	Q9NVP2-Q9Y2V0	no	0	yes	24	['huMAP3_08143.1', 'huMAP3_00115.1', 'huMAP3_10747.1', 'huMAP3_12711.1', 'huMAP3_12963.1', 'huMAP3_09859.1', 'huMAP3_11834.1', 'huMAP3_00724.1', 'huMAP3_09289.1', 'huMAP3_06020.1']	0.316	71.15400672009768	Q9NVP2	Q9NPG3	Q9Y2V0	no	0.122	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
O75534-Q9Y3F4	Q9Y3F4-Q7Z422	yes	21	yes	156	['huMAP3_09986.1', 'huMAP3_15264.1']	0.367	80.01959850150975	Q9Y3F4	Q7Z422	O75534	no	0.116	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
Q13636-Q9UL26	Q13636-P26374	yes	10	yes	131	['huMAP3_11094.1', 'huMAP3_11860.1']	0.344	77.5194725355662	Q13636	P26374	Q9UL26	no	0.094	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9NX70-Q6P2C8	Q6P2C8-Q9H944	no	0	no	0	['huMAP3_02730.1']	0.58	86.52913515678114	Q6P2C8	Q9NX70	Q9H944	no	0.288	{'7ENA', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7NVR', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	{'7ENA', '7ENJ', '7LBM', '7ENC', '7EMF', '8GXQ', '8GXS'}	yes structural evidence
P62136-Q15435	P62136-Q96QC0	yes	19	yes	231	['huMAP3_14504.1']	0.569	76.66599349267905	P62136	Q15435	Q96QC0	no	0.02	{'6OBN', '6OBP', '8U5G'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P06730-O43432	P06730-Q13541	yes	27	yes	102	['huMAP3_09957.1', 'huMAP3_13436.1', 'huMAP3_10733.1', 'huMAP3_13122.1', 'huMAP3_01678.1', 'huMAP3_01924.1', 'huMAP3_08691.1', 'huMAP3_04825.1', 'huMAP3_12323.1', 'huMAP3_12383.1']	0.344	79.72394659488221	P06730	Q13541	O43432	no	0.148	{'No overlap'}	{'3U7X', '2V8Y', '2V8X', '2V8W', '4UED', '5EKV', '1WKW'}	{'No mutual structures'}	no structural evidence
Q6VN20-Q9H7D7	Q6VN20-Q9H871	yes	12	yes	203	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.399	83.91956550273565	Q6VN20	Q9H871	Q9H7D7	yes	0.288	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q13303-O43448	Q14722-Q13303	yes	16	yes	24	['huMAP3_13061.1', 'huMAP3_07655.1', 'huMAP3_10381.1', 'huMAP3_14401.1']	0.675	80.91354772065061	Q13303	O43448	Q14722	yes	0.208	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
O43747-P56377	Q10567-O43747	yes	11	yes	60	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_06769.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.52	70.56466026234425	O43747	Q10567	P56377	no	0.24	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q4VC05-Q92784	Q4VC05-Q6STE5	no	0	yes	14	['huMAP3_03221.1', 'huMAP3_11470.1']	0.248	82.5868841496451	Q4VC05	Q92784	Q6STE5	no	0.204	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
Q9NP92-Q9BZE1	Q5T653-Q9BZE1	no	0	yes	84	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_03763.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.273	86.6384368365392	Q9BZE1	Q9NP92	Q5T653	no	0.838	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	yes structural evidence
Q15459-Q12874	Q15459-Q15428	no	0	yes	16	['huMAP3_08980.1', 'huMAP3_04549.1', 'huMAP3_15168.1', 'huMAP3_06511.1', 'huMAP3_09187.1']	0.621	87.21164529284772	Q15459	Q12874	Q15428	no	0.934	{'6AHD', '8QXD', '5Z58', '6FF7', '5Z56', '8R08', '7VPX', '8CH6', '6Y5Q', '5Z57', '8R09', '8R0B', '6Y53', '8RM5', '8H6E', '6QX9', '2DT7', '8R0A', '8QO9', '7ABI', '8H6K', '7EVO', '8HK1', '7ABG', '8H6L', '8QZS', '8H6J', '6AH0'}	{'6AHD', '8QXD', '5Z58', '6FF7', '5Z56', '8R08', '7VPX', '8CH6', '6Y5Q', '5Z57', '8R09', '8R0B', '6Y53', '8RM5', '8H6E', '6QX9', '8QO9', '8R0A', '7ABI', '8H6K', '7EVO', '8HK1', '7ABG', '8H6L', '8QZS', '8H6J', '6AH0'}	{'6AHD', '8QXD', '5Z58', '6FF7', '5Z56', '8R08', '7VPX', '8CH6', '6Y5Q', '5Z57', '8R09', '8R0B', '6Y53', '8RM5', '8H6E', '6QX9', '8QO9', '8R0A', '7ABI', '8H6K', '7EVO', '8HK1', '7ABG', '8H6L', '8QZS', '8H6J', '6AH0'}	yes structural evidence
P31150-P51153	P31150-P51151	yes	12	yes	175	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1', 'huMAP3_06994.1']	0.401	78.01333182332719	P31150	P51151	P51153	no	0.13	{'None'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q9BTC8-Q16576	Q9NP50-Q16576	yes	15	yes	59	['huMAP3_15128.1']	0.231	77.44333129572611	Q16576	Q9BTC8	Q9NP50	no	0.11	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P68371-Q9BQE3	P68371-P07437	no	0	no	0	['huMAP3_09233.1', 'huMAP3_14709.1', 'huMAP3_10475.1', 'huMAP3_10665.1']	0.621	84.73991293447028	P68371	Q9BQE3	P07437	no	0.974	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q14566-Q9BTE3	P25205-Q14566	yes	19	yes	554	['huMAP3_12180.1', 'huMAP3_14758.1', 'huMAP3_11832.1', 'huMAP3_08554.1', 'huMAP3_11119.1', 'huMAP3_00154.1']	0.332	70.45571492329768	Q14566	P25205	Q9BTE3	no	0.254486486486486	{'No overlap'}	{'7PFO', '8B9D', '7PLO', '7W1Y', '6XTY', '7W68', '6XTX'}	{'No mutual structures'}	no structural evidence
P25963-Q04864	P25963-Q01201	yes	20	yes	308	['huMAP3_14474.1', 'huMAP3_05441.1']	0.298	72.17999390288806	P25963	Q01201	Q04864	no	0.08	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9BVA0-O75449	O75449-Q9H079	yes	18	yes	104	['huMAP3_11361.1', 'huMAP3_04019.1', 'huMAP3_14626.1', 'huMAP3_11693.1', 'huMAP3_13167.1']	0.483	79.92665985511175	O75449	Q9BVA0	Q9H079	no	0.082	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P26373-P42766	P26373-P46776	no	0	no	0	['huMAP3_07654.1', 'huMAP3_09015.1', 'huMAP3_10538.1', 'huMAP3_11966.1']	0.42	89.58796908442275	P26373	P46776	P42766	no	0.998	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '8QOI', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	yes structural evidence
P31150-P61006	P31150-P61018	yes	12	yes	185	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.423	72.82127593925874	P31150	P61006	P61018	no	0.129	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q13636-P31150	P31150-P51151	yes	20	yes	181	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1']	0.495	74.76007825020658	P31150	Q13636	P51151	no	0.162	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9P0W2-Q14687	Q14687-Q13547	no	0	yes	37	['huMAP3_09232.1', 'huMAP3_09031.1', 'huMAP3_10311.1', 'huMAP3_15128.1', 'huMAP3_01287.1', 'huMAP3_08800.1']	0.263	70.44835825215644	Q14687	Q13547	Q9P0W2	no	0.15	{'None'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q99961-Q99963	Q99961-Q99962	yes	68	yes	284	['huMAP3_14074.1', 'huMAP3_03067.1']	0.73	91.01950968048835	Q99961	Q99963	Q99962	yes	0.206	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q02543-P50914	P08865-Q02543	no	0	no	0	['huMAP3_07654.1', 'huMAP3_10538.1', 'huMAP3_09015.1', 'huMAP3_11966.1']	0.384	86.09546487257242	Q02543	P50914	P08865	no	1.0	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '8QOI', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'6IP6', '8G60', '6Y2L', '8QOI', '8Y0W', '6OLE', '6IP5', '6IP8', '6ZME', '6OLG', '8GLP', '8G5Y', '8G61', '8G5Z', '8JDL', '5AJ0', '8G6J', '6Z6L', '6Y0G', '8JDM', '8JDJ', '6ZMO', '8JDK', '5LKS', '4V6X', '8IFE', '6Y57', '6OLF', '6OM7', '6QZP', '4UG0', '7QVP', '6OLI', '6XA1', '6ZMI', '7XNX', '6Z6N', '6Z6M', '5T2C', '8Y0X', '8IFD', '7XNY', '6ZM7', '6OM0', '6OLZ'}	{'6IP6', '8G60', '6Y2L', '8QOI', '8Y0W', '6OLE', '6IP5', '6IP8', '6ZME', '6OLG', '8GLP', '8G5Y', '8G61', '8G5Z', '8JDL', '5AJ0', '8G6J', '6Z6L', '6Y0G', '8JDM', '8JDJ', '6ZMO', '8JDK', '5LKS', '4V6X', '8IFE', '6Y57', '6OLF', '6OM7', '6QZP', '4UG0', '7QVP', '6OLI', '6XA1', '6ZMI', '7XNX', '6Z6N', '6Z6M', '5T2C', '8Y0X', '8IFD', '7XNY', '6ZM7', '6OM0', '6OLZ'}	yes structural evidence
P62136-Q6NYC8	P62136-Q96QC0	yes	16	yes	229	['huMAP3_14504.1']	0.462	71.9601633772259	P62136	Q6NYC8	Q96QC0	no	0.022	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
O60826-Q7Z3J2	O60826-Q8TCE6	no	0	no	0	['huMAP3_14444.1', 'huMAP3_07032.1']	0.467	78.72061061518988	O60826	Q8TCE6	Q7Z3J2	no	0.204	{'8P0V', '8P0X'}	{'8P0V'}	{'8P0V'}	yes structural evidence
